01.12.2025 14:52:21.62 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:21.73 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:21.73 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:21.84 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:21.84 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:21.95 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:21.95 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:22.06 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:22.06 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:22.16 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:22.16 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:22.27 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:22.27 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:22.38 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:22.38 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:22.49 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:22.49 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:22.60 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:22.73 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:22.85 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:22.85 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:22.96 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:22.96 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:23.07 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:23.07 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:23.18 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:23.18 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:23.29 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:23.29 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:23.40 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:23.40 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:23.51 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:23.51 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:23.62 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:23.62 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
01.12.2025 14:52:23.73 FC1 (Read Coils from Master device), StartingAddress: 0, Quantity: 1
01.12.2025 14:52:23.73 FC15 (Write multiple coils to Master device), StartingAddress: 0, Values: True 
